Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Sector,City / Location,Investor 1,Investor 2,Investor 3,Investment Type,Amount (in USD),Founding Date,Remarks
152,01-02-2020,Innoviti,Payments/Wallets,Bengaluru,FMO,,,,5000000,2002,
153,01-02-2020,Paytm money,Investments/Wealth Management,Bengaluru,One97 Communications,,,,5600000,2010,
154,01-02-2020,Yap,Financial Infrastructure/BaaS,Chennai,Amrish Rau, Kunal Shah, Jitendra Gupta,Series A,1402000,2017,
155,01-02-2020,Nova Credit,Lending/Credit,"San Francisco, USA",Kleiner Perkins, Canapi Ventures, Index Ventures,Series C,50000000,2015,
156,01-02-2020,SuperMoney,Lending/Credit,Mumbai,Unitus Ventures.,,,,1000000,2018,
157,01-02-2020,Fox Capital,Investments/Wealth Management,Jaipur,Institutional Investors,,,,2500000,2019,
158,01-01-2020,BharatPe,Payments/Wallets,Delhi,Coatue Management,,,Series C,100000000,2020,
159,01-01-2020,MoneyTap,Lending/Credit,Bengaluru,Aquiline Technology Growth (ATG), RTP Global, Sequoia India,,70185200,1998,
160,01-01-2020,Mera Cashier,Business Financial Tools,Noida,Amit Singal, Manish Aggarwal,,Series A,250000,1990,
161,01-01-2020,Monech,Other Specialized Fintech,Mumbai,Undisclosed,,,Seed,12700,2020,
162,01-01-2020,Capital Quotient,Investments/Wealth Management,Bengaluru,Undisclosed,,,Seed,600000,2018,
163,01-01-2020,Techbooze,Investments/Wealth Management,New Delhi,Space Capital,,,,15000000,2019,
164,01-01-2020,Satin Creditcare,Lending/Credit,Gurugram,Austrian Bank,,,,15000000,1990,
165,01-01-2020,Wealth Bucket,Investments/Wealth Management,New Delhi,NorthStar, Vinod Khatumal,,Series B,3000000,2020,
166,01-07-2020,Pickright Technologies,Investments/Wealth Management,Bengaluru,Sanjay Mehta, Vikram Pandya, Gaurav Gupta,,175000,2018,
167,01-07-2020,SATYA Microcapital,Lending/Credit,Delhi,BlueOrchard Finance,,,Seed,9600000,2018,
168,01-07-2020,goDutch,Payments/Wallets,Mumbai,Matrix India, Y Combinator, Global Founders Capital,,1700000,2020,
169,01-07-2020,Decentro,Financial Infrastructure/BaaS,Bengaluru,Y Combinator,,,Series C,15500000,2020,
170,01-07-2020,Aye Finance,Lending/Credit,Gurugram,Invest in Vision,,,,16753000,2018,
171,01-07-2020,ChitMonks,Other Specialized Fintech,Hyderabad,Unicorn India Ventures,,,Seed,650000,2018,
172,01-06-2020,Aye Finance,Lending/Credit,Gurugram,Capital G, Alphabet's Independent growth fund,,Seed,27700000,2019,
173,01-06-2020,GoldenPi,Investments/Wealth Management,Bengaluru,Rainmatter,,,,459000,2019,
174,01-06-2020,Jai Kisan,Lending/Credit,Mumbai,Arkam Ventures, Nabventures,,,3937000,2017,
175,01-06-2020,Hapramp,Other Specialized Fintech,Gurugram,Anand Mahindra,,,,1000000,2018,
176,01-06-2020,BankBazaar,Lending/Credit,Chennai,WSV Capital,,,,5967000,2008,
177,01-03-2020,CoinDCX,Other Specialized Fintech,Mumbai,Polychain Capital, Bain Capital Ventures, HDR Group,,3000000,2018,
178,01-03-2020,Vivriti Capital,Lending/Credit,Chennai,LGT Lightstone Aspada,,,Pre-series A,50000000,2017,
179,01-03-2020,Smart Coin,Lending/Credit,Bengaluru,LGT Lightstone Aspada,,,Series A,7000000,2015,
180,01-03-2020,FamPay,Payments/Wallets,Bengaluru,Y Combinator, Venture Highway, Sequoia India,Seed,4700000,2019,
181,01-03-2020,Karbon Card,Lending/Credit,Bengaluru,Kunal Shah, Amrish Rau, Jitendra Gupta,,2000000,2019,
182,01-03-2020,Leap Finance,Lending/Credit,Bengaluru,Sequoia India,,,,5500000,2019,
183,01-03-2020,Chqbook,Lending/Credit,Gurugram,Aavishkaar Capital,,,Series B,5000000,2017,
184,01-03-2020,SMEcorner,Lending/Credit,Mumbai,Paragon Partners,,,Pre-series A,30000000,2014,
185,01-05-2020,Ola Financial Services,Lending/Credit,Bengaluru,Matrix India,,,Series A,27000000,2015,
186,01-05-2020,Xtracap,Lending/Credit,Gurugram,Undisclosed,,,,1000000,2017,
187,01-05-2020,Khatabook,Business Financial Tools,Bengaluru,B Capital Group,,,Series B,60000000,2018,
188,01-05-2020,LendingKart,Lending/Credit,Ahmedabad,Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund,Series D,11363000,2014,
189,01-05-2020,Indian School Finance Company,Lending/Credit,Hyderabad,Gray Matters Capital,,,Seed,5271000,2008,
190,01-05-2020,Sindhuja Microcredit,Lending/Credit,Noida,Nordic Microfinance Initiative,,,,8700000,2018,
191,01-05-2020,Mintoak,Payments/Wallets,Mumbai,Pravega Ventures,,,Pre-series A,2000000,2017,
192,01-05-2020,Varthana,Lending/Credit,Bengaluru,ChrysCapital,,,Series D,15000000,2013,
193,01-11-2020,Cashfree,Payments/Wallets,Bengaluru,George Osborne, Smilegate Investment,,Series B,35000000,2015,
194,01-11-2020,Credgenics,Lending/Credit,New Delhi,Accel India, Breadlake Ventures,,Pre-series A,3000000,2018,
195,01-11-2020,Credgenics,Lending/Credit,Gurugram,Accel India, Breadlake Ventures,,Pre-series A,3000000,2018,
196,01-11-2020,Ensuredit,Insurance,Gurugram,Undisclosed,,,Pre-series A,300000,2019,
197,01-11-2020,NIRA,Lending/Credit,Bengaluru,Techstars Bangalore Accelerator, Techstars,,,1000000,2017,
198,01-11-2020,True Balance,Lending/Credit,Gurugram,IBK Capital, SB Partners,,,28000000,2014,
199,01-11-2020,Slice,Lending/Credit,Bengaluru,Better Capital, Gunosy,,Debt Funding,5000000,2016,
200,01-11-2020,Stride Ventures,Investments/Wealth Management,New Delhi,SIDBI Venture Capital Ltd,,,,80000000,2019,
201,01-11-2020,LivFin,Lending/Credit,New Delhi,DEG, KFW DEG,,,4700000,2017,
202,01-10-2020,FlexiLoans,Lending/Credit,Mumbai,Vikram Sud,,,Debt Funding,6000000,2016,
203,01-10-2020,Credable,Lending/Credit,Mumbai,Oaks Asset Management,,,,4500000,2017,
204,01-10-2020,Finova Capital,Lending/Credit,Jaipur,Sequoia India, Faering Capital,,,55000000,2016,
205,01-10-2020,Credgenics,Lending/Credit,Gurugram,Accel India, Sunder Nookala,,Seed,3300000,2018,
206,01-10-2020,Pocket FM,Other Specialized Fintech,Bengaluru,Times Group, Lightspeed,,Series A,5000000,2018,
207,01-10-2020,GetVantage,Lending/Credit,Mumbai,Samyakth Capital, Venture Catalysts,,Seed,5000000,2019,
208,01-10-2020,BASIC Home Loan,Lending/Credit,Gurugram,Picus Capital,,,Seed,5000000,2020,
209,01-10-2020,Signzy,Financial Infrastructure/BaaS,Bengaluru,GenNext Ventures, Contrarian Drishti Partners,,,5400000,2015,
210,01-10-2020,Cover Genius,Insurance,"Sydney, New South Wales, Australia",King River Capital, Leap Capital,,,15000000,2014,
211,01-10-2020,Clair,Lending/Credit,"New York, United States",Upfront Ventures, Walkabout Ventures,,Seed,4500000,2019,
212,01-10-2020,Razorpay,Payments/Wallets,Bengaluru,Tiger Global, Sequoia Capital India,,Series D,100000000,2014,
213,01-10-2020,Pepper Content,Other Specialized Fintech,Mumbai,Alok Mittal, Manan Maheshwari,,Series A,4200000,2017,
214,01-10-2020,Uni,Lending/Credit,Mumbai,Lightspeed India Partners, Accel India,,Seed,18500000,2020,
215,01-10-2020,Credit Wise Capital,Lending/Credit,Mumbai,Undisclosed,,,Seed,6000000,1994,
216,01-09-2020,Avanse Financial Services,Lending/Credit,Mumbai,International Finance Corporation,,,,15000000,2012,
217,01-09-2020,Smallcase,Investments/Wealth Management,Bengaluru,Sequoia India, Blume Ventures,,Series B,13400000,2015,
218,01-09-2020,Origa,Lending/Credit,Andheri,500 Startups, ah! Ventures,,Debt Funding,2000000,2013,
219,01-09-2020,Vivriti Capital,Lending/Credit,Chennai,Aspada, Creation Investments Capital Management, LLC,,1000000,2017,
220,01-09-2020,InsuranceDekho,Insurance,Ludhiana,GirnarSoft,,,,20000000,2017,
221,01-09-2020,FPL Technologies,Lending/Credit,Pune,Matrix India, Hummingbird Ventures,,Series A,10000000,2019,
222,01-09-2020,InCred,Lending/Credit,Mumbai,Pushpak Credit, Fiscal,,Debt Funding,5000000,2016,
223,01-09-2020,Ketto,Other Specialized Fintech,Mumbai, Redcliffe Capital,,,,7700000,2012,
224,01-09-2020,Suryoday,Other Specialized Fintech,Mumbai,Gaja Capital, Kotak Life, Lok Capital,,800000,2008,
225,01-09-2020,SucSEED,Investments/Wealth Management,Hyderabad,DR. Moti Vyas, Udit Goyal,,,1300000,2016,
226,01-09-2020,Aviom,Lending/Credit,New Delhi,Insitor Partners, C4D Partners,,Debt Funding,682000,2016,
227,01-09-2020,BankBazaar,Lending/Credit,Chennai,Ramesh Srinivasan, Amazon,,,9000000,2008,
228,01-09-2020,Groww,Investments/Wealth Management,Bengaluru,Y Combinator, Ribbit Capital,,Series C,30000000,2016,
229,01-09-2020,Qapita,Business Financial Tools,Singapore,Alto Partners, Mission Holdings,,Seed,1080000,2019,
230,01-09-2020,Sunday,Payments/Wallets,Bangkok,SCB 10X, LINE Ventures,,Pre-series B,9000000,2017,
231,01-04-2021,FypMoney,Payments/Wallets,Gurugram,Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal,Seed,2000000,2021,
232,01-04-2021,CoinSwitch Kuber,Other Specialized Fintech,Bengaluru,Paradigm, Kunal Shah,,Series B,25000000,2017,
233,01-04-2021,Razorpay,Payments/Wallets,Bengaluru,Matrix India, GIC,,Series E,160000000,2014,
234,01-04-2021,Northern Arc,Lending/Credit,Chennai,Kotak Mahindra Bank, FMO,,,5000000,2008,
235,01-04-2021,M1xchange,Other Specialized Fintech,Gurugram,Amazon,,,,10000000,2017,
236,01-04-2021,CredFlow,Business Financial Tools,New Delhi,Stellaris Venture Partners, Omidyar Network India, Flourish Ventures,Seed,2000000,2020,
237,01-04-2021,Lendingkart,Lending/Credit,Ahmedabad,Bertelsmann India, Fullerton Financial Holdings,,Debt Funding,15000000,1999,
238,01-04-2021,CRED,Lending/Credit,Bengaluru,Dragoneer Investment Group, Tiger Global Management,,Series D,215000000,2018,
239,01-04-2021,ShopSe,Lending/Credit,Mumbai,Chiratae Ventures, BEENEXT,,,5500000,2020,
240,01-04-2021,Groww,Investments/Wealth Management,Bengaluru,Tiger Global, Y Combinator Continuity Fund,,Series D,83000000,2017,
241,01-04-2021,Avanti Finance,Lending/Credit,Bengaluru,Michael & Susan Dell Foundation,,,Series A,26000000,2016,
242,01-04-2021,OfBusiness,Lending/Credit,Gurugram,Falcon Edge India, Norwest Venture Partners,,,110000000,2015,
243,01-04-2021,Safexpay,Payments/Wallets,Thane,T Choithrams BVI, Ardor,,,6000000,2017,
244,01-08-2021,OTO Capital,Lending/Credit,Mumbai,Matrix India,,,,6000000,2018,
245,01-08-2021,Skeps,Lending/Credit,Gurugram,Bertelsmann India,,,,9500000,2018,
246,01-08-2021,Ruptok,Lending/Credit,New Delhi,Eclear Leasing,,,,1000000,2020,
247,01-08-2021,Ruptok,Lending/Credit,New Delhi,Eclear Leasing,,,,1000000,2020,
248,01-08-2021,Khatabook,Business Financial Tools,Bengaluru,Tribe Capital, Moore Strategic Ventures (MSV),,Series C,100000000,2018,
249,01-08-2021,Smallcase,Investments/Wealth Management,Bengaluru,Faering Capital,,,Series C,40000000,2015,
250,01-08-2021,SATYA MicroCapital,Lending/Credit,New Delhi,Responsibility Investment, Blue Orchard,,,10000000,2017,
251,01-08-2021,BharatPe,Payments/Wallets,New Delhi,IIFL Wealth, Asset Management, Northern Arc Capital,Debt Funding,20000000,2018,
252,01-08-2021,YPay,Payments/Wallets,Noida,We Founder Circle,,,,400000,2017,
253,01-08-2021,Klub,Lending/Credit,Bengaluru,9Unicorns, Sequoia Capital India’s Surge,,,20000000,2019,
254,01-08-2021,Credgenics,Lending/Credit,New Delhi,Westbridge Capital, Tanglin Venture Partners,,Series A,25000000,2018,
255,01-08-2021,Grip Invest,Investments/Wealth Management,Gurugram,Venture Highway, Endiya Partners,,Series A,3000000,2020,
256,01-08-2021,BharatPe,Payments/Wallets,New Delhi,Tiger Global,,,Series E,370000000,2018,
257,01-08-2021,GoSats,Other Specialized Fintech,Bengaluru,Alphabit Fund, Fulgur Ventures, Stacks Accelerator,Seed,700000,2020,
258,01-08-2021,StockGro,Investments/Wealth Management,Bengaluru,Roots Ventures, Velo Partners,,Pre-series A,5000000,2020,
259,01-08-2021,RenewBuy,Insurance,Gurugram,Evolvence Capital,,,Series C,10000000,2015,
260,01-08-2021,Jupiter,Other Specialized Fintech,Mumbai,Nubank, Global Founders Capital, Sequoia Capital India,Series B,44000000,2019,
261,01-12-2021,PayGlocal,Payments/Wallets,Bengaluru,Sequoia India,,,Series A,4900000,2021,
262,01-12-2021,LenDenClub,Lending/Credit,Mumbai,Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund,Series A,10000000,2015,
263,01-12-2021,Trinkerr,Investments/Wealth Management,Bengaluru,Accel India,,,Series A,6600000,2021,
264,01-12-2021,ASQI Advisors,Investments/Wealth Management,Mumbai,Founders Room Capital,,,Pre-series A,1000000,2019,
265,01-12-2021,Trinkerr,Investments/Wealth Management,Bengaluru,Accel India,,,,6600000,2021,
266,01-12-2021,ASQI Advisors,Investments/Wealth Management,Mumbai,Founders Room Capital,,,,1000000,2019,
267,01-12-2021,Uni Cards,Lending/Credit,Bengaluru,General Catalyst, Eight Roads Ventures, Elevation Capital,,70000000,2020,
268,01-12-2021,Juspay,Financial Infrastructure/BaaS,Bengaluru,SoftBank Vision Fund 2,,,,60000000,2012,
269,01-12-2021,Stack,Financial Infrastructure/BaaS,Bengaluru,Y Combinator, Harvard Management,,,4500000,2020,
270,01-12-2021,OfBusiness,Lending/Credit,Gurugram,Alpha Wave, Tiger Global Management, SoftBank Vision Fund II,,325000000,2015,
271,01-12-2021,SK Finance,Lending/Credit,Jaipur,IIFL Wealth, TPG Growth, Norwest Venture Partners,,53000000,1994,
272,01-12-2021,Neobank Jupiter,Other Specialized Fintech,Mumbai,Tiger Global, Sequoia Capital,,,86000000,2019,
273,01-12-2021,OneCard,Lending/Credit,Pune,Ocean View Investment, QED Fund,,,76000000,2019,
274,01-02-2021,KreditBee,Lending/Credit,Bengaluru,Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital,,75000000,2018,
275,01-02-2021,Marquee Equity,Investments/Wealth Management,Mumbai,Capital One, Arrowroot Capital,,,3800000,2016,
276,01-02-2021,Zolve,Other Specialized Fintech,Bengaluru,Kunal Shah, Greg Kidd,,,15000000,2020,
277,01-02-2021,BharatPe,Payments/Wallets,New Delhi,Amplo, Insight Partners,,,100000000,2018,
278,01-02-2021,EduFund,Lending/Credit,Mumbai,View Trade Holding Corp,,,,300000,2020,
279,01-02-2021,Siply,Other Specialized Fintech,Bengaluru,Inflection Point Ventures,,,,1000000,2020,
280,01-02-2021,SarvaGram,Lending/Credit,Mumbai,Elevation Capital,,,,10000000,2019,
281,01-02-2021,Eduvanz,Lending/Credit,Mumbai,InCred Financial Services, Vivriti Capital, Northern Arc Capital,,10000000,2016,
282,01-02-2021,Progcap,Lending/Credit,New Delhi,Somak Ghosh, M V Nair,,,1000000,2017,
283,01-02-2021,SATYA MicroCapital,Lending/Credit,New Delhi,BlueOrchard Finance S A, Gojo & Company,,,20000000,2017,
284,01-02-2021,Aviom Housing Finance,Lending/Credit,New Delhi,Gojo & Company,,,,1000000,2016,
285,01-01-2021,DotPe,Payments/Wallets,Gurugram,Info Edge, Ruizheng Investment,,,8000000,2019,
286,01-01-2021,Ruptok,Lending/Credit,New Delhi,Wurk,,,,10000000,2020,
287,01-01-2021,GrowFix,Investments/Wealth Management,Bengaluru,Rainmatter, Better Capital,,,2000000,2020,
288,01-01-2021,BharatPe,Payments/Wallets,New Delhi,InnoVen Capital, Steadview Capital,,,6000000,2018,
289,01-01-2021,BharatPe,Payments/Wallets,New Delhi,InnoVen Capital, Steadview Capital,,,10000000,2018,
290,01-01-2021,Biconomy,Other Specialized Fintech,New Delhi,Binance Labs, Zee Prime Capital,,,1500000,2019,
291,01-01-2021,Siply,Other Specialized Fintech,Bengaluru,Inflection Point Ventures,,,,1000000,2020,
292,01-01-2021,SSA Finserv,Other Specialized Fintech,Mumbai,Blue Ashva Capital,,,,3000000,2019,
293,01-01-2021,Phi Commerce,Payments/Wallets,Pune,Yatra Angel Network, BEENEXT,,,4000000,2015,
294,01-01-2021,Cred,Lending/Credit,Bengaluru,DST Global, General Catalyst,,,81000000,2018,
295,01-01-2021,Zerone,Other Specialized Fintech,Gurugram,Anthill Ventures,,,,1300000,2018,
296,01-01-2021,BharatPe,Payments/Wallets,New Delhi,Steadview Capital, Insight Partners,,,8200000,2018,
297,01-01-2021,BlackSoil,Investments/Wealth Management,Mumbai,Awign Enterprises,,,,4000000,2016,
298,01-07-2021,Biconomy,Other Specialized Fintech,New Delhi,Mechanism Capital, DACM,,,9000000,2019,
299,01-07-2021,Slice,Lending/Credit,Bengaluru,Northern Arc, Niyogin Fintech Limited, Credit Saison India,,10000000,2016,
300,01-07-2021,Wasabi,Other Specialized Fintech,Bengaluru,021 Capital, Sparrow Capital,,,1800000,2021,
301,01-07-2021,Pencilton,Payments/Wallets,Hyderabad,Jupiter,,,,330000,2017,
302,01-07-2021,Credenc,Lending/Credit,New Delhi,Capital India,,,,25000000,2017,
303,01-07-2021,GalaxyCard,Lending/Credit,Gurugram,JITO Angel Network,,,,450000,2017,
304,01-07-2021,SmartCoin,Lending/Credit,Bengaluru,Northern Arc, Vivriti Capital,,,10000000,2016,
305,01-07-2021,TWID,Other Specialized Fintech,Bengaluru,BEENEXT, Sequoia’s Surge,,,2500000,2020,
306,01-06-2021,KreditBee,Lending/Credit,Bengaluru,NewQuest Capital Partners, Motilal Oswal Private Equity,,,8000000,2018,
307,01-06-2021,Capital Float,Lending/Credit,Bengaluru,Triodos Investment Management, SAIF Partners,,,6000000,2013,
308,01-06-2021,Refyne,Lending/Credit,Bengaluru,DST Global, RTP Global,,Series A,20000000,2020,
309,01-06-2021,MentorKart,Other Specialized Fintech,New Delhi,Amit Singal, Manish Aggarwal,,Seed,150000,2018,
310,01-06-2021,Chqbook,Lending/Credit,New Delhi,Aavishkaar Capital, YWC Venture Capital,,,1000000,2017,
311,01-06-2021,Junio,Payments/Wallets,New Delhi,Amit Lakhotia, Pravin Jadhav,,Seed,600000,2020,
312,01-06-2021,Flexmoney,Lending/Credit,Mumbai,Pravega Ventures,,,Series A,4800000,2015,
313,01-06-2021,Fampay,Payments/Wallets,Bengaluru,Greenoaks Capital, Elevation Capital,,Series A,38000000,2019,
314,01-06-2021,Upside AI,Investments/Wealth Management,Mumbai,Endiya Partners,,,Seed,1200000,2017,
315,01-06-2021,Bueno Finance,Lending/Credit,Gurugram,Goat Capital, JAM Fund,,Seed,3000000,2019,
316,01-06-2021,BimaPe,Insurance,Mumbai,iSeed, Titan Capital,,Pre-Seed,500000,2020,
317,01-06-2021,Slice,Lending/Credit,Bengaluru,Gunosy, Blume Ventures,,,20000000,2016,
318,01-03-2021,Velocity,Lending/Credit,Bengaluru,Valar Ventures,,,Seed,1300000,2020,
319,01-03-2021,Rupifi,Payments/Wallets,Bengaluru,Quona Capital,,,Pre-series A,4100000,2019,
320,01-03-2021,Moneyboxx,Lending/Credit,Mumbai,Ashv Finance, BlackSoil Capital,,Debt Funding,3000000,1994,
321,01-03-2021,DotPe,Payments/Wallets,Gurugram,PayU Finance India, Google,,Series A,27000000,2019,
